User,CB_Hit_10,KNN_Hit_10,Hidden_Item
AGSP6LSQK32SQEJO3YVVNACPWMSQ,0,1,0785255761
AG473D27NAWRW3N2RMWVYZ6ICBTA,0,1,0525657568
AGRCXV4NM763VGZGD6BQ2VGNCJNA,0,1,0764239635
