Method,k,MAE,RMSE,ExplainedVariance,Avg_Runtime_Seconds,Memory_MB
PCA_MLE,7,0.010845765132303,0.0844508554237843,0.7653233188047732,15.129416200001288,111.77444458007812
PCA_MeanFill,32,0.0037406102580614,0.0422696062883485,0.7568607715198381,0.20818862499982058,111.77444458007812
SVD,5,0.0075567802027427,0.0701412799864345,0.9995709279202304,11.631028600002173,6112.648780822754
SVD,20,0.0051906765609707,0.0517150881295079,0.9997667522732444,11.631028600002173,6112.648780822754
SVD,50,0.0030829006892045,0.032939881529967,0.9999053704124272,11.631028600002173,6112.648780822754
SVD,100,0.0019236753010018,0.0190705613174352,0.9999682817050136,11.631028600002173,6112.648780822754
