k,MAE,RMSE,ExplainedVariance
5,0.007556780202742785,0.07014127998643456,0.9995709279202305
20,0.005190676560970789,0.05171508812950799,0.9997667522732443
50,0.0030829006892045758,0.03293988152996702,0.9999053704124272
100,0.0019236753010018672,0.01907056131743527,0.9999682817050137
