Method,k,MAE,RMSE,ExplainedVariance
PCA_MLE,7,0.010845765132303,0.0844508554237843,0.7653233188047732
PCA_MeanFill,32,0.0037406102580614,0.0422696062883485,0.7568607715198381
SVD,5,0.0075567802027427,0.0701412799864345,0.9995709279202304
SVD,20,0.0051906765609707,0.0517150881295079,0.9997667522732444
SVD,50,0.0030829006892045,0.032939881529967,0.9999053704124272
SVD,100,0.0019236753010018,0.0190705613174352,0.9999682817050136
