TargetItem,Peer_Rank,Peer_ItemID,Latent_Similarity,Space_Type
99904,1,34,0.0,Top5_MLE
99904,2,92210,0.0,Top5_MLE
99904,3,94786,0.0,Top5_MLE
99904,4,94739,0.0,Top5_MLE
99904,5,94405,0.0,Top5_MLE
119705,1,34,0.0,Top5_MLE
119705,2,92210,0.0,Top5_MLE
119705,3,94786,0.0,Top5_MLE
119705,4,94739,0.0,Top5_MLE
119705,5,94405,0.0,Top5_MLE
